2,p,p,p,p,p,p,p,h,h,h
3,p,p,p,p,p,p,p,h,h,h
6,h,h,p,p,p,h,h,h,h,h
7,p,p,p,p,p,p$,h,h,h,h
8,p,p,p,p,p,p,p,p,p,r
9,s,p,p,p,p,s,p,p,s,s
A,p,p,p,p,p,p,p,p,p,p
